NOC,Sport,Year,Total_Athletes,Gold,Silver,Bronze,Total_Medals
AFG,Athletics,1936,3,0,0,0,0
AFG,Athletics,1960,9,0,0,0,0
AFG,Athletics,1996,2,0,0,0,0
AFG,Athletics,2004,2,0,0,0,0
AFG,Athletics,2008,2,0,0,0,0
AFG,Athletics,2012,2,0,0,0,0
AFG,Athletics,2016,2,0,0,0,0
AFG,Athletics,2020,2,0,0,0,0
AFG,Athletics,2024,2,0,0,0,0
AFG,Boxing,1980,3,0,0,0,0
AFG,Boxing,2004,1,0,0,0,0
AFG,Boxing,2012,1,0,0,0,0
AFG,Cycling Road,2024,3,0,0,0,0
AFG,Football,1948,11,0,0,0,0
AFG,Judo,2004,1,0,0,0,0
AFG,Judo,2012,1,0,0,0,0
AFG,Judo,2016,1,0,0,0,0
AFG,Judo,2024,1,0,0,0,0
AFG,Shooting,2020,1,0,0,0,0
AFG,Taekwondo,2008,2,0,0,1,1
AFG,Taekwondo,2012,2,0,0,1,1
AFG,Taekwondo,2020,1,0,0,0,0
AFG,Wrestling,1960,7,0,0,0,0
AFG,Wrestling,1964,8,0,0,0,0
AFG,Wrestling,1968,5,0,0,0,0
AFG,Wrestling,1972,8,0,0,0,0
AFG,Wrestling,1980,8,0,0,0,0
AFG,Wrestling,1988,5,0,0,0,0
AFG,Wrestling,2004,1,0,0,0,0
AHO,Athletics,1976,2,0,0,0,0
AHO,Athletics,1984,4,0,0,0,0
AHO,Athletics,1992,1,0,0,0,0
AHO,Athletics,1996,1,0,0,0,0
AHO,Athletics,2000,2,0,0,0,0
AHO,Athletics,2004,2,0,0,0,0
AHO,Athletics,2008,2,0,0,0,0
AHO,Equestrianism,2000,1,0,0,0,0
AHO,Equestrianism,2004,1,0,0,0,0
AHO,Fencing,1964,1,0,0,0,0
AHO,Fencing,1968,3,0,0,0,0
AHO,Football,1952,11,0,0,0,0
AHO,Judo,1976,2,0,0,0,0
AHO,Judo,1996,1,0,0,0,0
AHO,Sailing,1988,1,0,1,0,1
AHO,Sailing,1992,2,0,0,0,0
AHO,Sailing,1996,2,0,0,0,0
AHO,Sailing,2000,1,0,0,0,0
AHO,Shooting,1972,1,0,0,0,0
AHO,Shooting,1988,1,0,0,0,0
AHO,Shooting,1992,1,0,0,0,0
AHO,Shooting,1996,2,0,0,0,0
AHO,Shooting,2000,1,0,0,0,0
AHO,Shooting,2008,1,0,0,0,0
AHO,Triathlon,2000,1,0,0,0,0
AHO,Weightlifting,1960,5,0,0,0,0
AHO,Weightlifting,1964,3,0,0,0,0
AHO,Weightlifting,1968,2,0,0,0,0
AHO,Weightlifting,1972,1,0,0,0,0
AIN,Cycling Road,2024,7,0,0,0,0
AIN,Rowing,2024,2,0,1,0,1
AIN,Shooting,2024,2,0,0,0,0
AIN,Taekwondo,2024,1,0,0,0,0
AIN,Tennis,2024,14,0,2,0,2
AIN,Trampoline Gymnastics,2024,3,1,1,0,2
AIN,Weightlifting,2024,2,0,0,1,1
AIN,Wrestling,2024,2,0,0,0,0
ALB,Artistic Gymnastics,2020,1,0,0,0,0
ALB,Athletics,1992,1,0,0,0,0
ALB,Athletics,1996,2,0,0,0,0
ALB,Athletics,2000,2,0,0,0,0
ALB,Athletics,2004,2,0,0,0,0
ALB,Athletics,2008,2,0,0,0,0
ALB,Athletics,2012,1,0,0,0,0
ALB,Athletics,2016,2,0,0,0,0
ALB,Athletics,2020,2,0,0,0,0
ALB,Athletics,2024,2,0,0,0,0
ALB,Cycling,1996,1,0,0,0,0
ALB,Judo,2008,1,0,0,0,0
ALB,Judo,2012,1,0,0,0,0
ALB,Judo,2020,1,0,0,0,0
ALB,Shooting,1972,4,0,0,0,0
ALB,Shooting,1992,2,0,0,0,0
ALB,Shooting,1996,4,0,0,0,0
ALB,Shooting,2000,2,0,0,0,0
ALB,Shooting,2008,2,0,0,0,0
ALB,Shooting,2012,2,0,0,0,0
ALB,Shooting,2020,2,0,0,0,0
ALB,Shooting,2024,2,0,0,0,0
ALB,Weightlifting,1972,1,0,0,0,0
ALB,Weightlifting,1992,3,0,0,0,0
ALB,Weightlifting,1996,1,0,0,0,0
ALB,Weightlifting,2000,1,0,0,0,0
ALB,Weightlifting,2004,2,0,0,0,0
ALB,Weightlifting,2008,3,0,0,0,0
ALB,Weightlifting,2012,4,0,0,0,0
ALB,Weightlifting,2016,2,0,0,0,0
ALB,Weightlifting,2020,2,0,0,0,0
ALB,Wrestling,1996,1,0,0,0,0
ALB,Wrestling,2004,1,0,0,0,0
ALB,Wrestling,2008,2,0,0,0,0
ALB,Wrestling,2024,3,0,0,2,2
ALG,Artistic Gymnastics,2024,6,1,0,0,1
ALG,Athletics,1972,6,0,0,0,0
ALG,Athletics,1980,13,0,0,0,0
ALG,Athletics,1984,9,0,0,0,0
ALG,Athletics,1988,15,0,0,0,0
ALG,Athletics,1992,9,1,0,0,1
ALG,Athletics,1996,8,1,0,0,1
ALG,Athletics,2000,23,1,1,2,4
ALG,Athletics,2004,21,0,0,0,0
ALG,Athletics,2008,12,0,0,0,0
ALG,Athletics,2012,7,1,0,0,1
