NOC,Year,Sport,Omega
AFG,1936,Athletics,0.0
AFG,1960,Athletics,0.0
AFG,1960,Wrestling,0.0
AFG,1996,Athletics,0.0
AFG,2004,Athletics,0.0
AFG,2004,Boxing,0.0
AFG,2004,Judo,0.0
AFG,2004,Wrestling,0.0
AFG,2008,Athletics,0.5000000000000001
AFG,2008,Taekwondo,0.5000000000000001
AFG,2012,Athletics,0.3713821411422555
AFG,2012,Boxing,0.24366561822373384
AFG,2012,Judo,0.13066659602130182
AFG,2012,Taekwondo,0.44145347090239123
AFG,2016,Athletics,0.0
AFG,2016,Judo,0.0
AFG,2020,Athletics,0.0
AFG,2020,Shooting,0.0
AFG,2020,Taekwondo,0.0
AFG,2024,Athletics,0.0
AFG,2024,Cycling Road,0.0
AFG,2024,Judo,0.0
AFG,1980,Boxing,0.0
AFG,1980,Wrestling,0.0
AFG,1948,Football,0.0
AFG,1964,Wrestling,0.0
AFG,1968,Wrestling,0.0
AFG,1972,Wrestling,0.0
AFG,1988,Wrestling,0.0
AHO,1976,Athletics,0.0
AHO,1976,Judo,0.0
AHO,1984,Athletics,0.0
AHO,1992,Athletics,0.0
AHO,1992,Sailing,0.0
AHO,1992,Shooting,0.0
AHO,1996,Athletics,0.0
AHO,1996,Judo,0.0
AHO,1996,Sailing,0.0
AHO,1996,Shooting,0.0
AHO,2000,Athletics,0.0
AHO,2000,Equestrianism,0.0
AHO,2000,Sailing,0.0
AHO,2000,Shooting,0.0
AHO,2000,Triathlon,0.0
AHO,2004,Athletics,0.0
AHO,2004,Equestrianism,0.0
AHO,2008,Athletics,0.0
AHO,2008,Shooting,0.0
AHO,1964,Fencing,0.0
AHO,1964,Weightlifting,0.0
AHO,1968,Fencing,0.0
AHO,1968,Weightlifting,0.0
AHO,1952,Football,0.0
AHO,1988,Sailing,0.49011733313017614
AHO,1988,Shooting,0.5098826714399675
AHO,1972,Shooting,0.0
AHO,1972,Weightlifting,0.0
AHO,1960,Weightlifting,0.0
AIN,2024,Cycling Road,0.6257448226214519
AIN,2024,Rowing,0.45451996973484293
AIN,2024,Shooting,0.6253418161046518
AIN,2024,Taekwondo,0.26251158898733
