NOC,Gold,Silver,Bronze,Total_Medals
USA,658,337,366,1361
RUS,228,219,262,709
GER,227,217,261,705
FRA,240,269,178,687
CHN,301,206,173,680
GBR,223,216,211,650
ITA,128,157,178,463
BRA,117,164,162,443
AUS,109,154,179,442
KOR,118,116,133,367
JPN,107,149,104,360
ESP,68,129,141,338
NED,90,123,86,299
CAN,73,90,125,288
DEN,102,56,59,217
UKR,44,55,102,201
ROU,84,45,70,199
NZL,68,80,51,199
CUB,63,45,74,182
NOR,81,15,79,175
HUN,57,65,52,174
SWE,23,120,20,163
POL,43,63,54,160
JAM,41,57,50,148
ARG,53,23,51,127
ROC,29,73,25,127
BLR,18,40,68,126
CRO,49,15,38,102
CZE,21,27,39,87
NGR,23,23,37,83
KAZ,19,25,39,83
SRB,6,30,46,82
KEN,26,31,25,82
BUL,20,24,37,81
SUI,22,32,26,80
GRE,20,18,32,70
MEX,19,9,37,65
TUR,16,17,29,62
RSA,7,16,33,56
AZE,9,15,32,56
LTU,4,10,41,55
FIJ,26,14,13,53
IRI,19,17,17,53
UZB,20,9,21,50
TPE,9,13,27,49
ETH,18,12,18,48
GEO,13,14,20,47
BEL,10,12,23,45
SVK,14,16,12,42
INA,13,12,16,41
SCG,12,14,13,39
PRK,10,12,16,38
BAH,14,11,12,37
MAR,4,3,28,35
THA,11,10,13,34
ISR,4,9,19,32
COL,5,13,12,30
SLO,10,10,10,30
AUT,10,6,13,29
IND,2,7,17,26
IRL,8,6,12,26
ARM,2,10,12,24
CHI,4,2,18,24
FIN,5,7,10,22
POR,5,8,8,21
TTO,6,6,9,21
CMR,20,0,0,20
EST,6,4,10,20
LAT,7,7,5,19
MGL,2,7,9,18
EGY,2,5,11,18
PAR,0,17,0,17
DOM,4,9,4,17
MAS,0,10,7,17
ALG,6,4,6,16
ISL,0,14,1,15
MNE,0,14,0,14
BOT,1,7,6,14
KGZ,0,5,7,12
MDA,0,4,7,11
HKG,4,2,5,11
VEN,2,4,5,11
ECU,4,5,2,11
PHI,3,4,3,10
TUN,1,3,5,9
QAT,2,1,6,9
UGA,4,2,2,8
BRN,3,3,2,8
SGP,0,3,5,8
TJK,1,1,5,7
PUR,2,1,4,7
KSA,0,1,5,6
AIN,1,4,1,6
KOS,3,1,1,5
GRN,1,1,3,5
SMR,0,2,2,4
VIE,1,3,0,4
CIV,1,0,3,4
SYR,1,0,2,3
KUW,0,0,3,3
JOR,1,2,0,3
GUA,1,1,1,3
NAM,0,3,0,3
MOZ,1,0,1,2
UAE,1,0,1,2
PAN,1,1,0,2
ZAM,0,1,1,2
LCA,1,1,0,2
MKD,0,1,1,2
AFG,0,0,2,2
ALB,0,0,2,2
CYP,0,2,0,2
IOA,1,0,1,2
BDI,1,1,0,2
ERI,0,0,1,1
BAR,0,0,1,1
TKM,0,1,0,1
TGA,0,1,0,1
TOG,0,0,1,1
PER,0,0,1,1
BER,1,0,0,1
SUD,0,1,0,1
EOR,0,0,1,1
DMA,1,0,0,1
SRI,0,1,0,1
URU,0,1,0,1
GAB,0,1,0,1
GHA,0,0,1,1
CPV,0,0,1,1
PAK,1,0,0,1
BUR,0,0,1,1
NIG,0,1,0,1
MRI,0,0,1,1
SSD,0,0,0,0
LAO,0,0,0,0
CAM,0,0,0,0
SOM,0,0,0,0
SOL,0,0,0,0
CAY,0,0,0,0
CGO,0,0,0,0
SLE,0,0,0,0
SKN,0,0,0,0
CHA,0,0,0,0
SEY,0,0,0,0
STP,0,0,0,0
SWZ,0,0,0,0
CAF,0,0,0,0
SUR,0,0,0,0
YEM,0,0,0,0
VIN,0,0,0,0
AND,0,0,0,0
ANG,0,0,0,0
VAN,0,0,0,0
ANT,0,0,0,0
ARU,0,0,0,0
ASA,0,0,0,0
BAN,0,0,0,0
TUV,0,0,0,0
BEN,0,0,0,0
BHU,0,0,0,0
TLS,0,0,0,0
BIH,0,0,0,0
BIZ,0,0,0,0
TAN,0,0,0,0
BOL,0,0,0,0
COD,0,0,0,0
BRU,0,0,0,0
SEN,0,0,0,0
ROT,0,0,0,0
SAM,0,0,0,0
MON,0,0,0,0
MLT,0,0,0,0
MLI,0,0,0,0
HAI,0,0,0,0
MHL,0,0,0,0
HON,0,0,0,0
MDV,0,0,0,0
IRQ,0,0,0,0
MAW,0,0,0,0
ISV,0,0,0,0
IVB,0,0,0,0
MAD,0,0,0,0
LUX,0,0,0,0
KIR,0,0,0,0
LIE,0,0,0,0
LIB,0,0,0,0
LES,0,0,0,0
AHO,0,0,0,0
LBR,0,0,0,0
LBN,0,0,0,0
GUY,0,0,0,0
GUM,0,0,0,0
RWA,0,0,0,0
MTN,0,0,0,0
COK,0,0,0,0
COM,0,0,0,0
LBA,0,0,0,0
CRC,0,0,0,0
DJI,0,0,0,0
PNG,0,0,0,0
PLW,0,0,0,0
PLE,0,0,0,0
ESA,0,0,0,0
FSM,0,0,0,0
OMA,0,0,0,0
GAM,0,0,0,0
NRU,0,0,0,0
GBS,0,0,0,0
GEQ,0,0,0,0
NEP,0,0,0,0
NCA,0,0,0,0
GUI,0,0,0,0
MYA,0,0,0,0
ZIM,0,0,0,0
