NOC,Gold,Silver,Bronze,Total_Medals
AFG,0,0,2,2
AHO,0,0,0,0
AIN,1,4,1,6
ALB,0,0,2,2
ALG,6,4,6,16
AND,0,0,0,0
ANG,0,0,0,0
ANT,0,0,0,0
ARG,53,23,51,127
ARM,2,10,12,24
ARU,0,0,0,0
ASA,0,0,0,0
AUS,109,154,179,442
AUT,10,6,13,29
AZE,9,15,32,56
BAH,14,11,12,37
BAN,0,0,0,0
BAR,0,0,1,1
BDI,1,1,0,2
BEL,10,12,23,45
BEN,0,0,0,0
BER,1,0,0,1
BHU,0,0,0,0
BIH,0,0,0,0
BIZ,0,0,0,0
BLR,18,40,68,126
BOL,0,0,0,0
BOT,1,7,6,14
BRA,117,164,162,443
BRN,3,3,2,8
BRU,0,0,0,0
BUL,20,24,37,81
BUR,0,0,1,1
CAF,0,0,0,0
CAM,0,0,0,0
CAN,73,90,125,288
CAY,0,0,0,0
CGO,0,0,0,0
CHA,0,0,0,0
CHI,4,2,18,24
CHN,301,206,173,680
CIV,1,0,3,4
CMR,20,0,0,20
COD,0,0,0,0
COK,0,0,0,0
COL,5,13,12,30
COM,0,0,0,0
CPV,0,0,1,1
CRC,0,0,0,0
CRO,49,15,38,102
CUB,63,45,74,182
CYP,0,2,0,2
CZE,21,27,39,87
DEN,102,56,59,217
DJI,0,0,0,0
DMA,1,0,0,1
DOM,4,9,4,17
ECU,4,5,2,11
EGY,2,5,11,18
EOR,0,0,1,1
ERI,0,0,1,1
ESA,0,0,0,0
ESP,68,129,141,338
EST,6,4,10,20
ETH,18,12,18,48
FIJ,26,14,13,53
FIN,5,7,10,22
FRA,240,269,178,687
FSM,0,0,0,0
GAB,0,1,0,1
GAM,0,0,0,0
GBR,223,216,211,650
GBS,0,0,0,0
GEO,13,14,20,47
GEQ,0,0,0,0
GER,227,217,261,705
GHA,0,0,1,1
GRE,20,18,32,70
GRN,1,1,3,5
GUA,1,1,1,3
GUI,0,0,0,0
GUM,0,0,0,0
GUY,0,0,0,0
HAI,0,0,0,0
HKG,4,2,5,11
HON,0,0,0,0
HUN,57,65,52,174
INA,13,12,16,41
IND,2,7,17,26
IOA,1,0,1,2
IRI,19,17,17,53
IRL,8,6,12,26
IRQ,0,0,0,0
ISL,0,14,1,15
ISR,4,9,19,32
ISV,0,0,0,0
ITA,128,157,178,463
IVB,0,0,0,0
JAM,41,57,50,148
JOR,1,2,0,3
JPN,107,149,104,360
KAZ,19,25,39,83
KEN,26,31,25,82
KGZ,0,5,7,12
KIR,0,0,0,0
KOR,118,116,133,367
KOS,3,1,1,5
KSA,0,1,5,6
KUW,0,0,3,3
LAO,0,0,0,0
LAT,7,7,5,19
LBA,0,0,0,0
LBN,0,0,0,0
LBR,0,0,0,0
LCA,1,1,0,2
LES,0,0,0,0
LIB,0,0,0,0
LIE,0,0,0,0
LTU,4,10,41,55
LUX,0,0,0,0
MAD,0,0,0,0
MAR,4,3,28,35
MAS,0,10,7,17
MAW,0,0,0,0
MDA,0,4,7,11
MDV,0,0,0,0
MEX,19,9,37,65
MGL,2,7,9,18
MHL,0,0,0,0
MKD,0,1,1,2
MLI,0,0,0,0
MLT,0,0,0,0
MNE,0,14,0,14
MON,0,0,0,0
MOZ,1,0,1,2
MRI,0,0,1,1
MTN,0,0,0,0
MYA,0,0,0,0
NAM,0,3,0,3
NCA,0,0,0,0
NED,90,123,86,299
NEP,0,0,0,0
NGR,23,23,37,83
NIG,0,1,0,1
NOR,81,15,79,175
NRU,0,0,0,0
NZL,68,80,51,199
OMA,0,0,0,0
PAK,1,0,0,1
PAN,1,1,0,2
PAR,0,17,0,17
PER,0,0,1,1
PHI,3,4,3,10
PLE,0,0,0,0
PLW,0,0,0,0
PNG,0,0,0,0
POL,43,63,54,160
POR,5,8,8,21
PRK,10,12,16,38
PUR,2,1,4,7
QAT,2,1,6,9
ROC,29,73,25,127
ROT,0,0,0,0
ROU,84,45,70,199
RSA,7,16,33,56
RUS,228,219,262,709
RWA,0,0,0,0
SAM,0,0,0,0
SCG,12,14,13,39
SEN,0,0,0,0
SEY,0,0,0,0
SGP,0,3,5,8
SKN,0,0,0,0
SLE,0,0,0,0
SLO,10,10,10,30
SMR,0,2,2,4
SOL,0,0,0,0
SOM,0,0,0,0
SRB,6,30,46,82
SRI,0,1,0,1
SSD,0,0,0,0
STP,0,0,0,0
SUD,0,1,0,1
SUI,22,32,26,80
SUR,0,0,0,0
SVK,14,16,12,42
SWE,23,120,20,163
SWZ,0,0,0,0
SYR,1,0,2,3
TAN,0,0,0,0
TGA,0,1,0,1
THA,11,10,13,34
TJK,1,1,5,7
TKM,0,1,0,1
TLS,0,0,0,0
TOG,0,0,1,1
TPE,9,13,27,49
TTO,6,6,9,21
TUN,1,3,5,9
TUR,16,17,29,62
TUV,0,0,0,0
UAE,1,0,1,2
UGA,4,2,2,8
UKR,44,55,102,201
URU,0,1,0,1
USA,658,337,366,1361
UZB,20,9,21,50
VAN,0,0,0,0
VEN,2,4,5,11
VIE,1,3,0,4
VIN,0,0,0,0
YEM,0,0,0,0
ZAM,0,1,1,2
ZIM,0,0,0,0
