NOC,Sport,Prediction,NOC.1,Sport.1,2024,medal,Rate,,Number
AFG,Athletics,2,AFG,Athletics,0.0073939537703342,0.0147879075406684,7.566597842647763e-05,,48
AFG,Boxing,1,AFG,Boxing,0,0,0,,13
AFG,Cycling Road,3,AFG,Cycling Road,0.0135808847783169,0.0407426543349507,0.0006271634492402611,,4
AFG,Football,11,AFG,Football,0,0,0,,2
AFG,Judo,1,AFG,Judo,0.1221217240755106,0.1221217240755106,0.0010866805917547342,,15
AFG,Shooting,1,AFG,Shooting,0,0,0,,15
AFG,Taekwondo,1,AFG,Taekwondo,0,0,0,,8
AFG,Wrestling,1,AFG,Wrestling,0,0,0,,18
AHO,Athletics,2,AHO,Athletics,0,0,0,,48
AHO,Equestrianism,1,AHO,Equestrianism,0,0,,,
AHO,Fencing,3,AHO,Fencing,0,0,0,,12
AHO,Football,11,AHO,Football,0,0,0,,2
AHO,Judo,1,AHO,Judo,0,0,0,,15
AHO,Sailing,1,AHO,Sailing,0,0,0,,10
AHO,Shooting,1,AHO,Shooting,0,0,0,,15
AHO,Triathlon,1,AHO,Triathlon,0,0,0,,3
AHO,Weightlifting,1,AHO,Weightlifting,0,0,0,,10
AIN,Cycling Road,7,AIN,Cycling Road,0.0895236492347466,0.6266655446432261,0.009646443780206106,,4
AIN,Rowing,2,AIN,Rowing,0.3462179058805952,0.6924358117611904,0.005611372789613068,,14
AIN,Shooting,2,AIN,Shooting,0.3520365133292855,0.704073026658571,0.0063832311735851945,,15
AIN,Taekwondo,1,AIN,Taekwondo,0.1549054373997326,0.1549054373997326,0.004026484304082221,,8
AIN,Tennis,14,AIN,Tennis,0.0487085434405965,0.681919608168351,0.009227547730638042,,5
AIN,Trampoline Gymnastics,3,AIN,Trampoline Gymnastics,0.3830316024247258,1.1490948072741773,0.06968289867956731,,2
AIN,Weightlifting,2,AIN,Weightlifting,0.375296451422152,0.750592902844304,0.017168497256557294,,10
AIN,Wrestling,2,AIN,Wrestling,0.2204308964627737,0.4408617929255474,0.005534403172521324,,18
ALB,Artistic Gymnastics,1,ALB,Artistic Gymnastics,0,0,0,,14
ALB,Athletics,2,ALB,Athletics,0.0442958172067435,0.088591634413487,0.0004533009609278578,,48
ALB,Cycling,1,ALB,Cycling,0,0,,,
ALB,Judo,1,ALB,Judo,0,0,0,,15
ALB,Shooting,2,ALB,Shooting,0.0371225249763661,0.0742450499527322,0.0006731167072140825,,15
