NOC,Year,Total_Medals,Gold_Medals
AFG,1936,0,0
AFG,1948,0,0
AFG,1960,0,0
AFG,1964,0,0
AFG,1968,0,0
AFG,1972,0,0
AFG,1980,0,0
AFG,1988,0,0
AFG,1996,0,0
AFG,2004,0,0
AFG,2008,1,0
AFG,2012,1,0
AFG,2016,0,0
AFG,2020,0,0
AFG,2024,0,0
AHO,1952,0,0
AHO,1960,0,0
AHO,1964,0,0
AHO,1968,0,0
AHO,1972,0,0
AHO,1976,0,0
AHO,1984,0,0
AHO,1988,1,0
AHO,1992,0,0
AHO,1996,0,0
AHO,2000,0,0
AHO,2004,0,0
AHO,2008,0,0
AIN,2024,6,1
ALB,1972,0,0
ALB,1992,0,0
ALB,1996,0,0
ALB,2000,0,0
ALB,2004,0,0
ALB,2008,0,0
ALB,2012,0,0
ALB,2016,0,0
ALB,2020,0,0
ALB,2024,2,0
ALG,1964,0,0
ALG,1968,0,0
ALG,1972,0,0
ALG,1980,0,0
ALG,1984,2,0
ALG,1988,0,0
ALG,1992,2,1
ALG,1996,3,2
ALG,2000,5,1
ALG,2004,0,0
ALG,2008,2,0
ALG,2012,1,1
ALG,2016,2,0
ALG,2020,0,0
ALG,2024,3,2
AND,1976,0,0
AND,1980,0,0
AND,1984,0,0
AND,1988,0,0
AND,1992,0,0
AND,1996,0,0
AND,2000,0,0
AND,2004,0,0
AND,2008,0,0
AND,2012,0,0
AND,2016,0,0
AND,2020,0,0
AND,2024,0,0
ANG,1980,0,0
ANG,1988,0,0
ANG,1992,0,0
ANG,1996,0,0
ANG,2000,0,0
ANG,2004,0,0
ANG,2008,0,0
ANG,2012,0,0
ANG,2016,0,0
ANG,2020,0,0
ANG,2024,0,0
ANT,1976,0,0
ANT,1984,0,0
ANT,1988,0,0
ANT,1992,0,0
ANT,1996,0,0
ANT,2000,0,0
ANT,2004,0,0
ANT,2008,0,0
ANT,2012,0,0
ANT,2016,0,0
ANT,2020,0,0
ANT,2024,0,0
ANZ,1908,17,15
ANZ,1912,1,0
ARG,1900,0,0
ARG,1920,0,0
ARG,1924,5,0
ARG,1928,25,2
ARG,1932,4,3
ARG,1936,6,1
ARG,1948,11,3
ARG,1952,6,2
ARG,1956,2,0
ARG,1960,4,0
ARG,1964,1,0
ARG,1968,2,0
ARG,1972,1,0
ARG,1976,0,0
ARG,1984,0,0
ARG,1988,13,0
ARG,1992,2,0
ARG,1996,20,0
ARG,2000,4,0
ARG,2004,32,28
ARG,2008,35,20
ARG,2012,4,1
ARG,2016,4,3
ARG,2020,25,0
ARG,2024,3,1
ARM,1996,2,1
ARM,2000,1,0
ARM,2004,0,0
ARM,2008,6,0
ARM,2012,3,0
ARM,2016,4,1
ARM,2020,4,0
ARM,2024,4,0
ARU,1988,0,0
ARU,1992,0,0
ARU,1996,0,0
ARU,2000,0,0
ARU,2004,0,0
ARU,2008,0,0
ARU,2012,0,0
ARU,2016,0,0
ARU,2020,0,0
ARU,2024,0,0
ASA,1988,0,0
ASA,1992,0,0
ASA,1996,0,0
ASA,2000,0,0
ASA,2004,0,0
ASA,2008,0,0
ASA,2012,0,0
ASA,2016,0,0
ASA,2020,0,0
ASA,2024,0,0
AUS,1896,3,2
AUS,1900,4,1
AUS,1904,0,0
AUS,1906,2,0
AUS,1920,1,0
AUS,1924,1,1
AUS,1928,2,1
AUS,1932,3,2
AUS,1936,1,0
AUS,1948,12,2
AUS,1952,19,6
AUS,1956,42,9
AUS,1960,12,6
AUS,1964,10,4
AUS,1968,19,2
AUS,1972,10,5
AUS,1976,7,0
AUS,1980,2,0
AUS,1984,32,6
AUS,1988,16,1
AUS,1992,32,13
AUS,1996,60,14
AUS,2000,72,16
AUS,2004,62,15
AUS,2008,47,11
AUS,2012,52,11
AUS,2016,48,16
AUS,2020,54,13
AUS,2024,47,13
AUT,1896,3,1
AUT,1900,2,0
AUT,1904,3,2
AUT,1906,6,2
AUT,1908,0,0
AUT,1912,10,0
AUT,1924,4,0
AUT,1928,4,2
AUT,1932,5,1
AUT,1936,50,5
AUT,1948,4,1
AUT,1952,3,0
AUT,1956,4,0
AUT,1960,3,1
AUT,1964,0,0
